,asin,product_name,price,rating,review_count,discount,image_url,product_link,aesthetic
0,B0FHDHSFYY,Men's Half Sleeve Round Neck Cottonblend Graphic Print Oversized Tshirt for Man,286,4.0,443,(74% off),https://m.media-amazon.com/images/I/61WYx598KKL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Cottonblend-Graphic-Oversized-FS49_Navy_Boston_P_Navy/dp/B0FHDHSFYY,streetwear
1,B0FK5PK4VG,Half Sleeve Oversized Cottonblend Round Neck Drop Shoulder Printed Men's T-Shirt (Color Black),298,4.0,401,(73% off),https://m.media-amazon.com/images/I/61AE3iKBYPL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversized-Graphic-Cottonblend-FS49_Black_Space_P_Red_L/dp/B0FK5PK4VG,streetwear
2,B0F99NP71S,Men Half Sleeve Round Neck Graphic Font Printed Cottonblend Oversized Tshirts (Colour: Orange),286,4.2,211,(74% off),https://m.media-amazon.com/images/I/61EbiUi7r1L._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Graphic-Cottonblend-Oversized-FS49_ORNG_RAWENERGY_P_Orange_3XL/dp/B0F99NP71S,streetwear
3,B0FK5GC8XD,Casual Half Sleeve Cottonblend Printed Round Neck Drop Shoulder Oversized Tshirt for Man (Color Brown),286,4.1,194,(74% off),https://m.media-amazon.com/images/I/61kYmRqjzaL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Cottonblend-Shoulder-Oversized-FS49_Brown_NEWYORKK_P_Brown_XL/dp/B0FK5GC8XD,streetwear
4,B0FQ5NLPK3,Oversized Full Sleeve Cottonblend Graphic Printed Round Neck Drop Shoulder Tshirt for Man (Color Mustard),298,3.9,182,(73% off),https://m.media-amazon.com/images/I/615EMy4vdmL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Stylist-Cottonblend-Oversized-FS22_MUSTRD_Leo_P_Mustard_XL/dp/B0FQ5NLPK3,streetwear
5,B0GDQYMW8W,"Half Sleeve Oversized Tshirt for Men, Round Neck Cottonblend Drop Shoulder Printed T-Shirt (Black Color)",299,4.0,467,(73% off),https://m.media-amazon.com/images/I/51ci3wUQdCL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversized-Graphic-T-Shirt-FS49_BLK_Batman_P_Purple_2XL/dp/B0GDQYMW8W,streetwear
6,B0GDTT6HN7,Men Polycotton Oversized T-Shirt | Round Neck | Half Sleeve | Classy Look | Colorful,799,3.8,331,(50% off),https://m.media-amazon.com/images/I/71bqlXoWIVL._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Oversized-Graphic-Printed-FS33_Raglan_P_Purple_2XL/dp/B0GDTT6HN7,streetwear
7,B0DG36QH13,Men's Cotton Oversized Fit® Oversized Baggy Fit Drop Shoulder Cool and Stylish Latest Graphic Printed Design Half Sleeve T-Shirt (Available Sizes: S to 2XL),399,4.0,2.8K,(67% off),https://m.media-amazon.com/images/I/6105Aogd2fL._AC_UL320_.jpg,https://www.amazon.in/Veirdo%C2%AE_Pure-Oversized-Graphic-Printed-T-Shirt/dp/B0DG36QH13,streetwear
8,B0DG3596NR,"Pure Cotton Oversized Baggy Fit Drop Shoulder Stylish and Latest Graphic Printed Round Neck Half Sleeves T-Shirt for Men (Available Color Options: Black, Green, Royal Blue, Lilac & Sky Blue)",399,4.0,292,(67% off),https://m.media-amazon.com/images/I/61b1tL147eL._AC_UL320_.jpg,https://www.amazon.in/Veirdo%C2%AE_Pure-Oversized-Graphic-Printed-T-Shirt/dp/B0DG3596NR,streetwear
9,B0DBZ8JD2M,Mens Cotton Graphic Print Oversized Fit T-Shirt,499,4.1,409,(72% off),https://m.media-amazon.com/images/I/41XlGaQPirL._AC_UL320_.jpg,https://www.amazon.in/NOBERO-Mens-Oversized-T-Shirt-1M-TWRT-C0832-BL_Black/dp/B0DBZ8JD2M,streetwear
10,B0FSWXJ3L1,Half Sleeve Cottonblend Graphic Print Round Neck Drop Shoulder Oversized Dailywear Tshirt for Man (Color Aqua Blue),286,4.0,128,(74% off),https://m.media-amazon.com/images/I/41NyZ0aQc+L._AC_UL320_.jpg,https://www.amazon.in/LEOTUDE-Cottonblend-Dailywear-Oversized-FS49_Aqua_Amour_P_Aqua/dp/B0FSWXJ3L1,streetwear
11,B0F3NZ7M8Y,Heavy GSM Pure Cotton Men's Graphic Print Oversized Fit Half Sleeve Round Neck Cotton Acid Wash Print T-Shirt in Different Colors with Sizes ranging from S to 2XL.,699,3.8,63,(53% off),https://m.media-amazon.com/images/I/616xMq9zXJL._AC_UL320_.jpg,https://www.amazon.in/Veirdo%C2%AE-Graphic-Oversized-Sleeve-T-Shirt/dp/B0F3NZ7M8Y,streetwear
12,B0DB25CBJY,"100% Pure Cotton Oversized Loose Baggy Fit Drop Shoulder Round Neck Cool Front Chest Typographic Logo Printed Raglan Sleeve T-Shirt for Men (Colors: White, Black, Swanwhite, Beige & Grey)",389,3.7,516,(68% off),https://m.media-amazon.com/images/I/617Gu65SvGL._AC_UL320_.jpg,https://www.amazon.in/Veirdo%C2%AE-Typographic-Printed-T-Shirt-OS_VR_SW_BG_M/dp/B0DB25CBJY,streetwear
